,education_level,training_hours,gender,train_level
0,Bachelor,36,Male,2
1,Bachelor,47,Male,2
4,Masters,8,Male,1
6,High School,24,Male,1
7,Bachelor,18,Male,1
8,Bachelor,46,Male,2
11,Bachelor,108,Male,4
12,Bachelor,23,Male,1
15,Bachelor,18,Male,1
19,Bachelor,132,Female,4
20,Masters,68,Male,3
21,Masters,50,Male,2
23,Bachelor,65,Male,2
27,Bachelor,72,Male,3
28,High School,8,Male,1
29,Bachelor,68,Male,3
30,Bachelor,40,Male,2
31,Bachelor,141,Male,5
32,Bachelor,24,Female,1
33,Bachelor,82,Female,3
34,Bachelor,145,Male,5
35,Bachelor,206,Male,7
36,High School,152,Male,5
37,Phd,42,Male,2
40,Masters,14,Female,1
41,High School,36,Male,2
44,Masters,7,Male,1
45,Masters,26,Female,1
46,Bachelor,87,Male,3
47,Bachelor,52,Other,2
48,Bachelor,20,Male,1
49,Bachelor,21,Male,1
50,Bachelor,92,Male,3
51,Bachelor,102,Male,4
52,Bachelor,26,Male,1
54,High School,43,Male,2
55,Bachelor,45,Male,2
56,Bachelor,52,Male,2
57,Bachelor,19,Male,1
59,Bachelor,26,Male,1
60,Bachelor,90,Male,3
61,Bachelor,25,Male,1
63,Masters,48,Male,2
65,Bachelor,142,Male,5
66,Masters,13,Other,1
67,Bachelor,47,Male,2
68,Masters,28,Female,1
70,Bachelor,22,Male,1
71,Bachelor,18,Male,1
72,Bachelor,29,Male,1
73,Masters,46,Male,2
76,Masters,65,Male,2
77,Bachelor,35,Male,2
78,Bachelor,14,Male,1
79,Masters,4,Female,1
80,Bachelor,12,Male,1
81,Bachelor,108,Male,4
82,Bachelor,136,Male,5
83,Bachelor,27,Male,1
85,Bachelor,86,Male,3
86,Bachelor,83,Female,3
88,Masters,42,Male,2
89,Bachelor,332,Female,10
90,Bachelor,140,Male,5
91,High School,182,Male,6
92,Bachelor,13,Female,1
95,Bachelor,33,Male,1
98,Bachelor,14,Male,1
99,Bachelor,27,Male,1
100,Bachelor,24,Male,1
102,Bachelor,20,Female,1
104,Bachelor,52,Male,2
105,Bachelor,160,Male,5
106,Masters,3,Male,1
107,Bachelor,2,Male,1
108,Bachelor,28,Male,1
109,Bachelor,46,Male,2
110,Bachelor,210,Male,7
111,Bachelor,36,Male,2
112,Bachelor,160,Male,5
113,Bachelor,101,Male,4
114,Masters,46,Male,2
115,Bachelor,19,Male,1
116,Bachelor,26,Male,1
118,Bachelor,59,Male,2
119,Bachelor,260,Male,8
120,Bachelor,74,Female,3
121,Phd,20,Male,1
122,Bachelor,8,Male,1
123,Bachelor,131,Male,4
124,Masters,45,Male,2
125,Bachelor,109,Male,4
126,Bachelor,70,Male,3
127,Bachelor,17,Female,1
128,Masters,51,Female,2
129,Bachelor,60,Female,2
131,Bachelor,7,Male,1
133,Bachelor,290,Male,9
134,High School,145,Male,5
137,Masters,133,Male,4
139,Bachelor,76,Male,3
140,Masters,21,Female,1
141,Bachelor,34,Female,2
142,Bachelor,15,Male,1
143,Bachelor,156,Male,5
144,Bachelor,15,Male,1
147,Bachelor,100,Male,3
148,Bachelor,102,Male,4
149,High School,52,Male,2
151,High School,112,Male,4
152,Phd,14,Male,1
155,Bachelor,49,Male,2
156,Bachelor,72,Male,3
157,Bachelor,141,Male,5
158,High School,28,Male,1
159,Bachelor,6,Male,1
160,Bachelor,125,Male,4
162,Bachelor,33,Male,1
165,Masters,55,Female,2
166,Bachelor,32,Male,1
167,Bachelor,11,Male,1
168,Bachelor,41,Male,2
169,Masters,87,Male,3
170,Masters,114,Male,4
172,Masters,15,Male,1
174,High School,22,Female,1
175,Masters,13,Male,1
176,Bachelor,246,Male,8
177,Masters,22,Male,1
178,Masters,81,Male,3
180,Bachelor,24,Male,1
181,Bachelor,50,Male,2
182,High School,15,Male,1
183,Masters,31,Male,1
184,Masters,84,Male,3
185,Bachelor,42,Male,2
187,Bachelor,72,Female,3
188,Bachelor,42,Male,2
189,Bachelor,152,Male,5
190,Bachelor,60,Male,2
191,Masters,8,Male,1
192,Masters,17,Male,1
193,High School,33,Male,1
194,Masters,38,Male,2
195,Bachelor,178,Male,6
196,Bachelor,11,Male,1
197,High School,87,Male,3
198,Bachelor,84,Male,3
199,Bachelor,32,Male,1
201,Bachelor,39,Male,2
204,Bachelor,55,Male,2
206,Masters,104,Male,4
208,Masters,8,Male,1
209,Bachelor,102,Male,4
212,Bachelor,42,Male,2
214,Masters,88,Male,3
216,Masters,7,Male,1
218,Bachelor,62,Male,2
219,Bachelor,83,Male,3
220,Bachelor,11,Male,1
221,Phd,10,Male,1
222,Masters,114,Male,4
225,Bachelor,80,Male,3
226,Bachelor,108,Male,4
227,Bachelor,45,Male,2
228,Bachelor,77,Male,3
229,Masters,8,Male,1
231,Bachelor,37,Female,2
233,Bachelor,162,Male,5
235,Masters,4,Male,1
236,Phd,41,Female,2
238,Bachelor,190,Male,6
240,Bachelor,11,Male,1
241,High School,30,Male,1
242,Masters,39,Male,2
243,High School,16,Male,1
244,Bachelor,5,Male,1
245,High School,39,Male,2
246,Masters,29,Male,1
248,High School,54,Other,2
249,Bachelor,44,Male,2
250,Bachelor,47,Male,2
251,Bachelor,74,Male,3
252,Masters,8,Male,1
254,Bachelor,162,Male,5
256,High School,262,Other,8
257,Masters,6,Male,1
258,Bachelor,19,Male,1
259,Bachelor,23,Other,1
260,Bachelor,107,Male,4
261,Masters,134,Male,4
262,Masters,40,Male,2
263,Bachelor,11,Male,1
264,Bachelor,102,Male,4
265,Bachelor,100,Male,3
266,Masters,30,Male,1
270,Bachelor,14,Male,1
271,Primary School,103,Male,4
272,Bachelor,40,Male,2
273,Phd,27,Male,1
274,High School,46,Male,2
275,High School,110,Male,4
276,Bachelor,96,Male,3
278,Bachelor,240,Male,8
279,Bachelor,42,Male,2
280,Masters,16,Male,1
281,Bachelor,40,Male,2
282,Bachelor,94,Male,3
284,Bachelor,25,Male,1
285,Bachelor,11,Male,1
287,Bachelor,23,Male,1
288,Bachelor,113,Male,4
290,Bachelor,39,Male,2
292,Bachelor,40,Male,2
293,Masters,56,Male,2
295,Bachelor,64,Male,2
296,Bachelor,51,Male,2
297,Bachelor,41,Female,2
299,Bachelor,320,Male,10
300,Masters,20,Male,1
302,Bachelor,74,Male,3
303,Masters,129,Male,4
304,Masters,42,Female,2
306,High School,126,Male,4
308,Bachelor,166,Male,5
309,Bachelor,110,Male,4
310,Bachelor,37,Male,2
311,Bachelor,95,Female,3
312,Bachelor,29,Male,1
313,Masters,31,Male,1
314,Masters,97,Male,3
315,Primary School,16,Male,1
316,Primary School,14,Male,1
317,Phd,206,Male,7
318,Bachelor,204,Female,7
319,Masters,116,Male,4
321,Bachelor,25,Male,1
324,Masters,100,Male,3
325,Bachelor,107,Male,4
326,Masters,17,Male,1
327,Bachelor,140,Male,5
328,Bachelor,75,Male,3
332,Masters,42,Female,2
335,Bachelor,22,Female,1
337,Masters,143,Male,5
338,Bachelor,72,Female,3
339,High School,7,Male,1
340,Bachelor,182,Male,6
341,Bachelor,50,Male,2
342,High School,82,Male,3
343,Bachelor,58,Male,2
345,Bachelor,60,Male,2
346,Masters,124,Male,4
348,Masters,57,Male,2
349,Bachelor,17,Female,1
351,Primary School,31,Male,1
352,Bachelor,36,Male,2
353,Bachelor,198,Male,6
354,Masters,31,Male,1
356,Bachelor,31,Male,1
357,Bachelor,26,Male,1
358,Bachelor,55,Male,2
359,Bachelor,8,Male,1
360,High School,38,Male,2
361,Bachelor,8,Male,1
