,education_level,major_discipline,experience,target,experience_level
0,Graduate,STEM,21,1.0,Experienced (>=15)
1,Graduate,STEM,15,0.0,Experienced (>=15)
2,Graduate,STEM,5,0.0,Limit Experienced (0-7)
3,Graduate,Business Degree,0,1.0,Limit Experienced (0-7)
4,Masters,STEM,21,0.0,Experienced (>=15)
5,Graduate,STEM,11,1.0,Medium Experienced (8-14)
6,High School,None,5,0.0,Limit Experienced (0-7)
7,Graduate,STEM,13,1.0,Medium Experienced (8-14)
8,Graduate,STEM,7,1.0,Limit Experienced (0-7)
9,Graduate,STEM,17,0.0,Experienced (>=15)
10,High School,None,2,1.0,Limit Experienced (0-7)
11,Graduate,STEM,5,0.0,Limit Experienced (0-7)
12,Graduate,STEM,21,0.0,Experienced (>=15)
13,None,None,2,0.0,Limit Experienced (0-7)
14,High School,None,5,0.0,Limit Experienced (0-7)
15,Graduate,STEM,16,0.0,Experienced (>=15)
16,Graduate,STEM,1,0.0,Limit Experienced (0-7)
17,Graduate,STEM,2,0.0,Limit Experienced (0-7)
18,Graduate,STEM,7,1.0,Limit Experienced (0-7)
19,Graduate,Arts,4,1.0,Limit Experienced (0-7)
20,Masters,STEM,11,0.0,Medium Experienced (8-14)
21,Masters,STEM,11,0.0,Medium Experienced (8-14)
22,Masters,STEM,10,0.0,Medium Experienced (8-14)
23,Graduate,Humanities,0,0.0,Limit Experienced (0-7)
24,Graduate,STEM,5,0.0,Limit Experienced (0-7)
25,High School,None,4,0.0,Limit Experienced (0-7)
26,Graduate,STEM,14,1.0,Medium Experienced (8-14)
27,Graduate,Arts,5,0.0,Limit Experienced (0-7)
28,High School,None,11,1.0,Medium Experienced (8-14)
29,Graduate,STEM,18,1.0,Experienced (>=15)
30,Graduate,STEM,21,0.0,Experienced (>=15)
31,Graduate,STEM,19,0.0,Experienced (>=15)
32,Graduate,STEM,5,0.0,Limit Experienced (0-7)
33,Graduate,STEM,21,0.0,Experienced (>=15)
34,Graduate,Business Degree,12,0.0,Medium Experienced (8-14)
35,Graduate,STEM,10,0.0,Medium Experienced (8-14)
36,High School,None,1,0.0,Limit Experienced (0-7)
37,Phd,STEM,21,1.0,Experienced (>=15)
38,Graduate,STEM,12,0.0,Medium Experienced (8-14)
39,None,None,3,0.0,Limit Experienced (0-7)
40,Masters,STEM,16,0.0,Experienced (>=15)
41,High School,None,4,0.0,Limit Experienced (0-7)
42,Masters,STEM,6,1.0,Limit Experienced (0-7)
43,Graduate,No Major,9,0.0,Medium Experienced (8-14)
44,Masters,STEM,9,1.0,Medium Experienced (8-14)
45,Masters,STEM,5,1.0,Limit Experienced (0-7)
46,Graduate,STEM,5,1.0,Limit Experienced (0-7)
47,Graduate,STEM,19,1.0,Experienced (>=15)
48,Graduate,No Major,15,1.0,Experienced (>=15)
49,Graduate,STEM,11,0.0,Medium Experienced (8-14)
50,Graduate,STEM,4,1.0,Limit Experienced (0-7)
51,Graduate,STEM,10,0.0,Medium Experienced (8-14)
52,Graduate,Humanities,5,0.0,Limit Experienced (0-7)
53,Masters,STEM,3,0.0,Limit Experienced (0-7)
54,High School,None,4,0.0,Limit Experienced (0-7)
55,Graduate,STEM,21,0.0,Experienced (>=15)
56,Graduate,STEM,2,0.0,Limit Experienced (0-7)
57,Graduate,STEM,21,0.0,Experienced (>=15)
58,Graduate,STEM,2,1.0,Limit Experienced (0-7)
59,Graduate,Humanities,21,1.0,Experienced (>=15)
60,Graduate,STEM,6,0.0,Limit Experienced (0-7)
61,Graduate,STEM,6,0.0,Limit Experienced (0-7)
62,Masters,STEM,13,0.0,Medium Experienced (8-14)
63,Masters,Humanities,21,0.0,Experienced (>=15)
64,High School,None,3,0.0,Limit Experienced (0-7)
65,Graduate,STEM,10,1.0,Medium Experienced (8-14)
66,Masters,Humanities,4,0.0,Limit Experienced (0-7)
67,Graduate,STEM,15,0.0,Experienced (>=15)
68,Masters,Humanities,14,0.0,Medium Experienced (8-14)
69,None,None,2,1.0,Limit Experienced (0-7)
70,Graduate,STEM,21,0.0,Experienced (>=15)
71,Graduate,STEM,0,1.0,Limit Experienced (0-7)
72,Graduate,STEM,2,0.0,Limit Experienced (0-7)
73,Masters,STEM,5,0.0,Limit Experienced (0-7)
74,Graduate,STEM,0,0.0,Limit Experienced (0-7)
75,Graduate,STEM,5,0.0,Limit Experienced (0-7)
76,Masters,STEM,5,0.0,Limit Experienced (0-7)
77,Graduate,Humanities,3,0.0,Limit Experienced (0-7)
78,Graduate,STEM,9,0.0,Medium Experienced (8-14)
79,Masters,STEM,2,0.0,Limit Experienced (0-7)
80,Graduate,STEM,15,0.0,Experienced (>=15)
81,Graduate,STEM,21,0.0,Experienced (>=15)
82,Graduate,STEM,21,0.0,Experienced (>=15)
83,Graduate,STEM,5,0.0,Limit Experienced (0-7)
84,Masters,STEM,4,0.0,Limit Experienced (0-7)
85,Graduate,STEM,15,0.0,Experienced (>=15)
86,Graduate,STEM,0,0.0,Limit Experienced (0-7)
87,High School,None,4,0.0,Limit Experienced (0-7)
88,Masters,STEM,11,0.0,Medium Experienced (8-14)
89,Graduate,STEM,6,0.0,Limit Experienced (0-7)
90,Graduate,STEM,4,0.0,Limit Experienced (0-7)
91,High School,None,3,0.0,Limit Experienced (0-7)
92,Graduate,Humanities,3,1.0,Limit Experienced (0-7)
93,Graduate,STEM,5,1.0,Limit Experienced (0-7)
94,Graduate,STEM,10,0.0,Medium Experienced (8-14)
95,Graduate,STEM,9,0.0,Medium Experienced (8-14)
96,High School,None,2,0.0,Limit Experienced (0-7)
97,Graduate,STEM,2,0.0,Limit Experienced (0-7)
98,Graduate,STEM,6,1.0,Limit Experienced (0-7)
99,Graduate,STEM,6,1.0,Limit Experienced (0-7)
100,Graduate,STEM,8,1.0,Medium Experienced (8-14)
101,Masters,STEM,21,0.0,Experienced (>=15)
102,Graduate,STEM,11,0.0,Medium Experienced (8-14)
103,Graduate,STEM,5,0.0,Limit Experienced (0-7)
104,Graduate,STEM,12,0.0,Medium Experienced (8-14)
105,Graduate,STEM,21,0.0,Experienced (>=15)
106,Masters,STEM,9,0.0,Medium Experienced (8-14)
107,Graduate,STEM,2,1.0,Limit Experienced (0-7)
108,Graduate,STEM,21,0.0,Experienced (>=15)
109,Graduate,Other,21,0.0,Experienced (>=15)
