,education_level,training_hours,gender,train_level
0,Graduate,36,Male,2
1,Graduate,47,Male,2
4,Masters,8,Male,1
6,High School,24,Male,1
7,Graduate,18,Male,1
8,Graduate,46,Male,2
11,Graduate,108,Male,4
12,Graduate,23,Male,1
15,Graduate,18,Male,1
19,Graduate,132,Female,4
20,Masters,68,Male,3
21,Masters,50,Male,2
23,Graduate,65,Male,2
27,Graduate,72,Male,3
28,High School,8,Male,1
29,Graduate,68,Male,3
30,Graduate,40,Male,2
31,Graduate,141,Male,5
32,Graduate,24,Female,1
33,Graduate,82,Female,3
34,Graduate,145,Male,5
35,Graduate,206,Male,7
36,High School,152,Male,5
37,Phd,42,Male,2
40,Masters,14,Female,1
41,High School,36,Male,2
44,Masters,7,Male,1
45,Masters,26,Female,1
46,Graduate,87,Male,3
47,Graduate,52,Other,2
48,Graduate,20,Male,1
49,Graduate,21,Male,1
50,Graduate,92,Male,3
51,Graduate,102,Male,4
52,Graduate,26,Male,1
54,High School,43,Male,2
55,Graduate,45,Male,2
56,Graduate,52,Male,2
57,Graduate,19,Male,1
59,Graduate,26,Male,1
60,Graduate,90,Male,3
61,Graduate,25,Male,1
63,Masters,48,Male,2
65,Graduate,142,Male,5
66,Masters,13,Other,1
67,Graduate,47,Male,2
68,Masters,28,Female,1
70,Graduate,22,Male,1
71,Graduate,18,Male,1
72,Graduate,29,Male,1
73,Masters,46,Male,2
76,Masters,65,Male,2
77,Graduate,35,Male,2
78,Graduate,14,Male,1
79,Masters,4,Female,1
80,Graduate,12,Male,1
81,Graduate,108,Male,4
82,Graduate,136,Male,5
83,Graduate,27,Male,1
85,Graduate,86,Male,3
86,Graduate,83,Female,3
88,Masters,42,Male,2
89,Graduate,332,Female,10
90,Graduate,140,Male,5
91,High School,182,Male,6
92,Graduate,13,Female,1
95,Graduate,33,Male,1
98,Graduate,14,Male,1
99,Graduate,27,Male,1
100,Graduate,24,Male,1
102,Graduate,20,Female,1
104,Graduate,52,Male,2
105,Graduate,160,Male,5
106,Masters,3,Male,1
107,Graduate,2,Male,1
108,Graduate,28,Male,1
109,Graduate,46,Male,2
110,Graduate,210,Male,7
111,Graduate,36,Male,2
112,Graduate,160,Male,5
113,Graduate,101,Male,4
114,Masters,46,Male,2
115,Graduate,19,Male,1
116,Graduate,26,Male,1
118,Graduate,59,Male,2
119,Graduate,260,Male,8
120,Graduate,74,Female,3
121,Phd,20,Male,1
122,Graduate,8,Male,1
123,Graduate,131,Male,4
124,Masters,45,Male,2
125,Graduate,109,Male,4
126,Graduate,70,Male,3
127,Graduate,17,Female,1
128,Masters,51,Female,2
129,Graduate,60,Female,2
131,Graduate,7,Male,1
133,Graduate,290,Male,9
134,High School,145,Male,5
137,Masters,133,Male,4
139,Graduate,76,Male,3
140,Masters,21,Female,1
141,Graduate,34,Female,2
142,Graduate,15,Male,1
143,Graduate,156,Male,5
144,Graduate,15,Male,1
147,Graduate,100,Male,3
148,Graduate,102,Male,4
149,High School,52,Male,2
151,High School,112,Male,4
152,Phd,14,Male,1
155,Graduate,49,Male,2
156,Graduate,72,Male,3
157,Graduate,141,Male,5
158,High School,28,Male,1
159,Graduate,6,Male,1
160,Graduate,125,Male,4
162,Graduate,33,Male,1
165,Masters,55,Female,2
166,Graduate,32,Male,1
167,Graduate,11,Male,1
168,Graduate,41,Male,2
169,Masters,87,Male,3
170,Masters,114,Male,4
172,Masters,15,Male,1
174,High School,22,Female,1
175,Masters,13,Male,1
176,Graduate,246,Male,8
177,Masters,22,Male,1
178,Masters,81,Male,3
180,Graduate,24,Male,1
181,Graduate,50,Male,2
182,High School,15,Male,1
183,Masters,31,Male,1
184,Masters,84,Male,3
185,Graduate,42,Male,2
187,Graduate,72,Female,3
188,Graduate,42,Male,2
189,Graduate,152,Male,5
190,Graduate,60,Male,2
191,Masters,8,Male,1
192,Masters,17,Male,1
193,High School,33,Male,1
194,Masters,38,Male,2
195,Graduate,178,Male,6
196,Graduate,11,Male,1
197,High School,87,Male,3
198,Graduate,84,Male,3
199,Graduate,32,Male,1
201,Graduate,39,Male,2
204,Graduate,55,Male,2
206,Masters,104,Male,4
208,Masters,8,Male,1
209,Graduate,102,Male,4
212,Graduate,42,Male,2
214,Masters,88,Male,3
216,Masters,7,Male,1
218,Graduate,62,Male,2
219,Graduate,83,Male,3
220,Graduate,11,Male,1
221,Phd,10,Male,1
222,Masters,114,Male,4
225,Graduate,80,Male,3
226,Graduate,108,Male,4
227,Graduate,45,Male,2
228,Graduate,77,Male,3
229,Masters,8,Male,1
231,Graduate,37,Female,2
233,Graduate,162,Male,5
235,Masters,4,Male,1
236,Phd,41,Female,2
238,Graduate,190,Male,6
240,Graduate,11,Male,1
241,High School,30,Male,1
242,Masters,39,Male,2
243,High School,16,Male,1
244,Graduate,5,Male,1
245,High School,39,Male,2
246,Masters,29,Male,1
248,High School,54,Other,2
249,Graduate,44,Male,2
250,Graduate,47,Male,2
251,Graduate,74,Male,3
252,Masters,8,Male,1
254,Graduate,162,Male,5
256,High School,262,Other,8
257,Masters,6,Male,1
258,Graduate,19,Male,1
259,Graduate,23,Other,1
260,Graduate,107,Male,4
261,Masters,134,Male,4
262,Masters,40,Male,2
263,Graduate,11,Male,1
264,Graduate,102,Male,4
265,Graduate,100,Male,3
266,Masters,30,Male,1
270,Graduate,14,Male,1
271,Primary School,103,Male,4
272,Graduate,40,Male,2
273,Phd,27,Male,1
274,High School,46,Male,2
275,High School,110,Male,4
276,Graduate,96,Male,3
278,Graduate,240,Male,8
279,Graduate,42,Male,2
280,Masters,16,Male,1
281,Graduate,40,Male,2
282,Graduate,94,Male,3
284,Graduate,25,Male,1
285,Graduate,11,Male,1
287,Graduate,23,Male,1
288,Graduate,113,Male,4
290,Graduate,39,Male,2
292,Graduate,40,Male,2
293,Masters,56,Male,2
295,Graduate,64,Male,2
296,Graduate,51,Male,2
297,Graduate,41,Female,2
299,Graduate,320,Male,10
300,Masters,20,Male,1
302,Graduate,74,Male,3
303,Masters,129,Male,4
304,Masters,42,Female,2
306,High School,126,Male,4
308,Graduate,166,Male,5
309,Graduate,110,Male,4
310,Graduate,37,Male,2
311,Graduate,95,Female,3
312,Graduate,29,Male,1
313,Masters,31,Male,1
314,Masters,97,Male,3
315,Primary School,16,Male,1
316,Primary School,14,Male,1
317,Phd,206,Male,7
318,Graduate,204,Female,7
319,Masters,116,Male,4
321,Graduate,25,Male,1
324,Masters,100,Male,3
325,Graduate,107,Male,4
326,Masters,17,Male,1
327,Graduate,140,Male,5
328,Graduate,75,Male,3
332,Masters,42,Female,2
335,Graduate,22,Female,1
337,Masters,143,Male,5
338,Graduate,72,Female,3
339,High School,7,Male,1
340,Graduate,182,Male,6
341,Graduate,50,Male,2
342,High School,82,Male,3
343,Graduate,58,Male,2
345,Graduate,60,Male,2
346,Masters,124,Male,4
348,Masters,57,Male,2
349,Graduate,17,Female,1
351,Primary School,31,Male,1
352,Graduate,36,Male,2
353,Graduate,198,Male,6
354,Masters,31,Male,1
356,Graduate,31,Male,1
357,Graduate,26,Male,1
358,Graduate,55,Male,2
359,Graduate,8,Male,1
360,High School,38,Male,2
361,Graduate,8,Male,1
362,Masters,32,Male,1
363,Graduate,51,Male,2
364,Graduate,22,Male,1
365,High School,17,Male,1
367,Graduate,19,Male,1
368,Masters,46,Male,2
369,Graduate,15,Female,1
370,Masters,23,Male,1
371,Graduate,38,Male,2
374,Graduate,52,Male,2
375,Graduate,22,Female,1
376,Masters,65,Male,2
378,Graduate,86,Male,3
379,Graduate,52,Male,2
381,Graduate,86,Male,3
382,Masters,288,Male,9
383,Masters,53,Male,2
384,Graduate,60,Male,2
385,Masters,178,Male,6
386,Phd,166,Male,5
387,Phd,62,Male,2
388,Graduate,35,Male,2
389,Graduate,106,Male,4
390,Graduate,58,Male,2
391,Masters,44,Male,2
392,Masters,72,Male,3
394,Masters,166,Male,5
396,Graduate,109,Male,4
397,Graduate,37,Male,2
400,Graduate,51,Male,2
401,Graduate,84,Male,3
402,Graduate,72,Male,3
403,High School,47,Male,2
404,Graduate,47,Male,2
405,High School,20,Male,1
406,Graduate,198,Male,6
407,Graduate,64,Male,2
408,Masters,23,Male,1
409,Masters,96,Male,3
410,High School,306,Male,10
411,Graduate,8,Male,1
412,Graduate,48,Male,2
413,Graduate,98,Male,3
415,Graduate,53,Male,2
416,Graduate,102,Male,4
418,Primary School,43,Male,2
419,Graduate,32,Male,1
422,Masters,322,Female,10
424,Graduate,7,Female,1
425,Graduate,53,Male,2
426,Graduate,161,Male,5
427,Masters,11,Male,1
429,Graduate,72,Male,3
430,Masters,182,Female,6
431,Graduate,67,Male,2
432,Graduate,50,Female,2
433,Graduate,16,Female,1
434,Graduate,38,Male,2
435,Graduate,98,Other,3
436,Graduate,7,Male,1
437,Graduate,88,Male,3
438,Masters,112,Male,4
439,Graduate,30,Other,1
441,High School,36,Other,2
442,Graduate,24,Male,1
443,Masters,28,Male,1
444,Graduate,166,Male,5
445,Masters,61,Male,2
446,Graduate,24,Male,1
447,Graduate,8,Male,1
448,Graduate,133,Male,4
449,Graduate,143,Male,5
450,Graduate,29,Male,1
452,Graduate,11,Male,1
453,Graduate,7,Male,1
454,Graduate,87,Male,3
455,Graduate,18,Male,1
456,Graduate,76,Male,3
457,Graduate,114,Male,4
459,Graduate,30,Male,1
460,Graduate,80,Male,3
461,Graduate,52,Male,2
462,Graduate,13,Female,1
465,Primary School,12,Male,1
466,Masters,36,Male,2
467,Masters,67,Male,2
469,Graduate,100,Male,3
470,Phd,58,Male,2
471,Graduate,18,Male,1
475,Graduate,11,Male,1
476,Graduate,15,Male,1
477,Graduate,206,Male,7
480,Masters,88,Male,3
483,Masters,16,Male,1
484,Graduate,95,Male,3
485,Graduate,53,Male,2
486,Graduate,220,Male,7
488,Masters,94,Male,3
489,Graduate,20,Male,1
490,Graduate,47,Male,2
491,Graduate,60,Male,2
492,Graduate,78,Male,3
495,Graduate,2,Male,1
496,Graduate,206,Female,7
497,High School,90,Male,3
498,Graduate,25,Male,1
499,Graduate,8,Male,1
500,Graduate,22,Male,1
501,Graduate,90,Male,3
503,High School,81,Male,3
504,Graduate,120,Male,4
505,Graduate,18,Male,1
507,Graduate,314,Male,10
509,Graduate,10,Male,1
511,Masters,25,Male,1
512,Graduate,146,Male,5
513,Graduate,26,Male,1
514,Graduate,25,Male,1
515,Graduate,50,Male,2
516,Graduate,30,Male,1
517,Graduate,39,Male,2
521,Graduate,43,Male,2
523,Graduate,21,Male,1
524,Graduate,226,Male,7
525,Graduate,60,Male,2
526,Graduate,9,Male,1
527,Graduate,50,Male,2
528,High School,280,Male,9
529,Graduate,91,Male,3
530,Masters,15,Male,1
531,Graduate,14,Male,1
532,Graduate,74,Male,3
533,Graduate,43,Male,2
534,Masters,52,Male,2
536,Graduate,54,Male,2
537,Graduate,50,Male,2
538,Graduate,100,Male,3
539,Masters,42,Male,2
540,Phd,11,Male,1
541,Masters,74,Male,3
542,High School,17,Male,1
543,Graduate,90,Male,3
544,Masters,234,Male,7
545,Graduate,11,Male,1
546,Masters,163,Male,5
547,Graduate,9,Male,1
548,Graduate,36,Male,2
549,Graduate,6,Male,1
550,Graduate,72,Male,3
551,Graduate,84,Male,3
552,Graduate,24,Male,1
553,High School,77,Male,3
556,Graduate,8,Male,1
557,Masters,8,Male,1
558,Graduate,55,Male,2
559,Graduate,74,Male,3
561,Graduate,36,Male,2
563,Graduate,151,Male,5
564,Graduate,4,Male,1
565,Masters,102,Male,4
566,Graduate,29,Male,1
567,Masters,78,Male,3
569,Graduate,141,Male,5
570,High School,41,Male,2
571,Graduate,13,Male,1
572,Masters,30,Male,1
573,Graduate,104,Male,4
574,Graduate,108,Male,4
577,Graduate,98,Male,3
578,Masters,57,Female,2
579,Graduate,44,Male,2
580,Masters,9,Male,1
582,Graduate,53,Male,2
584,Masters,98,Female,3
586,Masters,107,Male,4
587,Graduate,28,Male,1
588,Masters,24,Male,1
592,Graduate,80,Male,3
594,Graduate,96,Male,3
595,Graduate,11,Male,1
596,Graduate,46,Male,2
597,Graduate,20,Male,1
598,Graduate,46,Male,2
599,Primary School,14,Male,1
600,Graduate,44,Male,2
602,Graduate,34,Male,2
603,Graduate,17,Male,1
604,Graduate,40,Female,2
606,Graduate,31,Male,1
607,Masters,45,Male,2
608,High School,32,Male,1
609,Graduate,85,Male,3
610,Graduate,110,Male,4
611,Masters,35,Male,2
612,Graduate,6,Male,1
613,Masters,11,Male,1
614,Masters,61,Male,2
615,Masters,91,Male,3
616,Graduate,28,Male,1
618,Graduate,50,Male,2
619,Graduate,204,Male,7
620,High School,256,Male,8
621,Graduate,26,Male,1
622,Masters,168,Male,5
623,Graduate,26,Male,1
624,Masters,37,Male,2
625,High School,17,Male,1
626,Graduate,42,Male,2
627,Graduate,67,Male,2
629,Graduate,14,Male,1
630,Graduate,218,Male,7
631,High School,22,Male,1
632,Graduate,8,Male,1
633,Masters,38,Male,2
635,Graduate,26,Male,1
637,Graduate,50,Male,2
638,Masters,120,Female,4
639,Graduate,100,Male,3
640,Graduate,198,Male,6
642,Masters,80,Male,3
643,Graduate,144,Female,5
644,Masters,41,Male,2
646,Masters,28,Male,1
647,Graduate,20,Male,1
648,Graduate,45,Male,2
649,Masters,55,Male,2
650,Graduate,28,Male,1
651,Masters,96,Male,3
653,Graduate,42,Male,2
656,Masters,66,Male,2
657,Graduate,8,Male,1
658,High School,94,Male,3
659,Graduate,40,Male,2
662,Masters,42,Male,2
663,Masters,8,Male,1
665,Graduate,128,Male,4
666,Graduate,25,Female,1
667,Masters,37,Male,2
670,Graduate,21,Male,1
671,Graduate,90,Female,3
672,High School,10,Male,1
673,Primary School,70,Male,3
674,Masters,106,Male,4
675,Graduate,35,Male,2
676,Graduate,73,Male,3
677,Graduate,41,Male,2
678,Graduate,22,Male,1
679,Masters,82,Male,3
681,Graduate,44,Male,2
682,Graduate,107,Male,4
683,Graduate,19,Male,1
