,relevent_experience,company_size,training_hours
0,Has relevent experience,no experience,36
1,No relevent experience,50-99,47
2,No relevent experience,no experience,83
3,No relevent experience,no experience,52
4,Has relevent experience,50-99,8
5,Has relevent experience,no experience,24
6,Has relevent experience,50-99,24
7,Has relevent experience,<10,18
8,Has relevent experience,50-99,46
9,Has relevent experience,10000+,123
10,No relevent experience,no experience,32
11,Has relevent experience,5000-9999,108
12,Has relevent experience,1000-4999,23
13,No relevent experience,no experience,24
14,No relevent experience,no experience,26
15,Has relevent experience,10/49,18
16,Has relevent experience,50-99,106
17,Has relevent experience,5000-9999,7
18,Has relevent experience,10000+,23
19,Has relevent experience,no experience,132
20,Has relevent experience,100-500,68
21,Has relevent experience,100-500,50
22,Has relevent experience,no experience,48
23,Has relevent experience,1000-4999,65
24,Has relevent experience,1000-4999,13
25,No relevent experience,no experience,22
26,Has relevent experience,500-999,148
27,Has relevent experience,no experience,72
28,Has relevent experience,<10,8
29,Has relevent experience,50-99,68
30,Has relevent experience,100-500,40
31,Has relevent experience,5000-9999,141
32,No relevent experience,no experience,24
33,Has relevent experience,100-500,82
34,Has relevent experience,5000-9999,145
35,Has relevent experience,10/49,206
36,No relevent experience,10000+,152
37,Has relevent experience,100-500,42
38,No relevent experience,no experience,50
39,No relevent experience,no experience,106
40,Has relevent experience,1000-4999,14
41,Has relevent experience,10/49,36
42,Has relevent experience,50-99,112
43,No relevent experience,50-99,108
44,Has relevent experience,5000-9999,7
45,No relevent experience,no experience,26
46,Has relevent experience,100-500,87
47,Has relevent experience,10000+,52
48,Has relevent experience,no experience,20
49,Has relevent experience,10/49,21
50,No relevent experience,no experience,92
51,Has relevent experience,100-500,102
52,No relevent experience,10000+,26
53,Has relevent experience,<10,7
54,No relevent experience,10000+,43
55,Has relevent experience,100-500,45
56,Has relevent experience,50-99,52
57,Has relevent experience,no experience,19
58,Has relevent experience,10/49,32
59,Has relevent experience,100-500,26
60,Has relevent experience,no experience,90
61,Has relevent experience,100-500,25
62,Has relevent experience,<10,15
63,Has relevent experience,100-500,48
64,No relevent experience,no experience,98
65,Has relevent experience,50-99,142
66,No relevent experience,10000+,13
67,Has relevent experience,no experience,47
68,Has relevent experience,500-999,28
69,No relevent experience,no experience,228
70,Has relevent experience,no experience,22
71,No relevent experience,no experience,18
72,Has relevent experience,10/49,29
73,Has relevent experience,100-500,46
74,No relevent experience,no experience,12
75,Has relevent experience,100-500,17
76,Has relevent experience,50-99,65
77,No relevent experience,100-500,35
78,No relevent experience,10000+,14
79,Has relevent experience,<10,4
80,Has relevent experience,50-99,12
81,Has relevent experience,50-99,108
82,No relevent experience,no experience,136
83,Has relevent experience,10/49,27
84,Has relevent experience,50-99,74
85,Has relevent experience,10/49,86
86,No relevent experience,10/49,83
87,No relevent experience,no experience,75
88,No relevent experience,no experience,42
89,Has relevent experience,100-500,332
90,No relevent experience,no experience,140
91,No relevent experience,no experience,182
92,No relevent experience,100-500,13
93,Has relevent experience,10/49,172
94,Has relevent experience,100-500,48
95,Has relevent experience,50-99,33
96,No relevent experience,100-500,142
97,No relevent experience,100-500,34
98,Has relevent experience,50-99,14
99,Has relevent experience,10/49,27
100,Has relevent experience,100-500,24
101,No relevent experience,no experience,150
102,Has relevent experience,500-999,20
103,Has relevent experience,500-999,140
104,Has relevent experience,5000-9999,52
105,Has relevent experience,50-99,160
106,Has relevent experience,5000-9999,3
107,Has relevent experience,<10,2
108,Has relevent experience,1000-4999,28
109,Has relevent experience,no experience,46
110,Has relevent experience,50-99,210
111,Has relevent experience,<10,36
112,No relevent experience,no experience,160
113,Has relevent experience,10/49,101
114,Has relevent experience,50-99,46
115,Has relevent experience,1000-4999,19
116,Has relevent experience,100-500,26
117,Has relevent experience,<10,90
118,Has relevent experience,<10,59
119,Has relevent experience,50-99,260
120,Has relevent experience,50-99,74
121,Has relevent experience,100-500,20
122,Has relevent experience,100-500,8
123,Has relevent experience,100-500,131
124,Has relevent experience,no experience,45
125,Has relevent experience,10/49,109
126,Has relevent experience,100-500,70
127,Has relevent experience,100-500,17
128,No relevent experience,50-99,51
129,Has relevent experience,50-99,60
130,No relevent experience,1000-4999,4
131,No relevent experience,100-500,7
132,Has relevent experience,100-500,164
133,Has relevent experience,no experience,290
134,No relevent experience,<10,145
135,No relevent experience,no experience,70
136,No relevent experience,no experience,24
137,No relevent experience,10000+,133
138,No relevent experience,no experience,20
139,Has relevent experience,<10,76
140,No relevent experience,no experience,21
141,Has relevent experience,5000-9999,34
142,No relevent experience,<10,15
143,No relevent experience,no experience,156
144,Has relevent experience,5000-9999,15
145,Has relevent experience,no experience,120
146,Has relevent experience,10000+,47
147,Has relevent experience,no experience,100
148,Has relevent experience,500-999,102
149,No relevent experience,no experience,52
