,education_level,major_discipline,experience,target,experience_level
0,Graduate,STEM,21,1.0,Experienced
1,Graduate,STEM,15,0.0,Experienced
2,Graduate,STEM,5,0.0,Limit Experienced
3,Graduate,Business Degree,0,1.0,Limit Experienced
4,Masters,STEM,21,0.0,Experienced
5,Graduate,STEM,11,1.0,Medium Experienced
6,High School,None,5,0.0,Limit Experienced
7,Graduate,STEM,13,1.0,Medium Experienced
8,Graduate,STEM,7,1.0,Limit Experienced
9,Graduate,STEM,17,0.0,Experienced
10,High School,None,2,1.0,Limit Experienced
11,Graduate,STEM,5,0.0,Limit Experienced
12,Graduate,STEM,21,0.0,Experienced
13,None,None,2,0.0,Limit Experienced
14,High School,None,5,0.0,Limit Experienced
15,Graduate,STEM,16,0.0,Experienced
16,Graduate,STEM,1,0.0,Limit Experienced
17,Graduate,STEM,2,0.0,Limit Experienced
18,Graduate,STEM,7,1.0,Limit Experienced
19,Graduate,Arts,4,1.0,Limit Experienced
20,Masters,STEM,11,0.0,Medium Experienced
21,Masters,STEM,11,0.0,Medium Experienced
22,Masters,STEM,10,0.0,Medium Experienced
23,Graduate,Humanities,0,0.0,Limit Experienced
24,Graduate,STEM,5,0.0,Limit Experienced
25,High School,None,4,0.0,Limit Experienced
26,Graduate,STEM,14,1.0,Medium Experienced
27,Graduate,Arts,5,0.0,Limit Experienced
28,High School,None,11,1.0,Medium Experienced
29,Graduate,STEM,18,1.0,Experienced
30,Graduate,STEM,21,0.0,Experienced
31,Graduate,STEM,19,0.0,Experienced
32,Graduate,STEM,5,0.0,Limit Experienced
33,Graduate,STEM,21,0.0,Experienced
34,Graduate,Business Degree,12,0.0,Medium Experienced
35,Graduate,STEM,10,0.0,Medium Experienced
36,High School,None,1,0.0,Limit Experienced
37,Phd,STEM,21,1.0,Experienced
38,Graduate,STEM,12,0.0,Medium Experienced
39,None,None,3,0.0,Limit Experienced
40,Masters,STEM,16,0.0,Experienced
41,High School,None,4,0.0,Limit Experienced
42,Masters,STEM,6,1.0,Limit Experienced
43,Graduate,No Major,9,0.0,Medium Experienced
44,Masters,STEM,9,1.0,Medium Experienced
45,Masters,STEM,5,1.0,Limit Experienced
46,Graduate,STEM,5,1.0,Limit Experienced
47,Graduate,STEM,19,1.0,Experienced
48,Graduate,No Major,15,1.0,Experienced
49,Graduate,STEM,11,0.0,Medium Experienced
50,Graduate,STEM,4,1.0,Limit Experienced
51,Graduate,STEM,10,0.0,Medium Experienced
52,Graduate,Humanities,5,0.0,Limit Experienced
53,Masters,STEM,3,0.0,Limit Experienced
54,High School,None,4,0.0,Limit Experienced
55,Graduate,STEM,21,0.0,Experienced
56,Graduate,STEM,2,0.0,Limit Experienced
57,Graduate,STEM,21,0.0,Experienced
58,Graduate,STEM,2,1.0,Limit Experienced
59,Graduate,Humanities,21,1.0,Experienced
60,Graduate,STEM,6,0.0,Limit Experienced
61,Graduate,STEM,6,0.0,Limit Experienced
62,Masters,STEM,13,0.0,Medium Experienced
63,Masters,Humanities,21,0.0,Experienced
64,High School,None,3,0.0,Limit Experienced
65,Graduate,STEM,10,1.0,Medium Experienced
66,Masters,Humanities,4,0.0,Limit Experienced
67,Graduate,STEM,15,0.0,Experienced
68,Masters,Humanities,14,0.0,Medium Experienced
69,None,None,2,1.0,Limit Experienced
70,Graduate,STEM,21,0.0,Experienced
71,Graduate,STEM,0,1.0,Limit Experienced
72,Graduate,STEM,2,0.0,Limit Experienced
73,Masters,STEM,5,0.0,Limit Experienced
74,Graduate,STEM,0,0.0,Limit Experienced
75,Graduate,STEM,5,0.0,Limit Experienced
76,Masters,STEM,5,0.0,Limit Experienced
77,Graduate,Humanities,3,0.0,Limit Experienced
78,Graduate,STEM,9,0.0,Medium Experienced
79,Masters,STEM,2,0.0,Limit Experienced
80,Graduate,STEM,15,0.0,Experienced
81,Graduate,STEM,21,0.0,Experienced
82,Graduate,STEM,21,0.0,Experienced
83,Graduate,STEM,5,0.0,Limit Experienced
84,Masters,STEM,4,0.0,Limit Experienced
85,Graduate,STEM,15,0.0,Experienced
86,Graduate,STEM,0,0.0,Limit Experienced
87,High School,None,4,0.0,Limit Experienced
88,Masters,STEM,11,0.0,Medium Experienced
89,Graduate,STEM,6,0.0,Limit Experienced
90,Graduate,STEM,4,0.0,Limit Experienced
91,High School,None,3,0.0,Limit Experienced
92,Graduate,Humanities,3,1.0,Limit Experienced
93,Graduate,STEM,5,1.0,Limit Experienced
94,Graduate,STEM,10,0.0,Medium Experienced
95,Graduate,STEM,9,0.0,Medium Experienced
96,High School,None,2,0.0,Limit Experienced
97,Graduate,STEM,2,0.0,Limit Experienced
98,Graduate,STEM,6,1.0,Limit Experienced
99,Graduate,STEM,6,1.0,Limit Experienced
100,Graduate,STEM,8,1.0,Medium Experienced
101,Masters,STEM,21,0.0,Experienced
102,Graduate,STEM,11,0.0,Medium Experienced
103,Graduate,STEM,5,0.0,Limit Experienced
104,Graduate,STEM,12,0.0,Medium Experienced
105,Graduate,STEM,21,0.0,Experienced
106,Masters,STEM,9,0.0,Medium Experienced
107,Graduate,STEM,2,1.0,Limit Experienced
108,Graduate,STEM,21,0.0,Experienced
109,Graduate,Other,21,0.0,Experienced
110,Graduate,STEM,8,0.0,Medium Experienced
111,Graduate,STEM,10,0.0,Medium Experienced
112,Graduate,STEM,4,1.0,Limit Experienced
113,Graduate,STEM,2,0.0,Limit Experienced
114,Masters,STEM,6,0.0,Limit Experienced
115,Graduate,STEM,21,0.0,Experienced
116,Graduate,STEM,3,1.0,Limit Experienced
117,Graduate,STEM,7,0.0,Limit Experienced
118,Graduate,STEM,9,0.0,Medium Experienced
119,Graduate,Business Degree,10,0.0,Medium Experienced
120,Graduate,STEM,11,0.0,Medium Experienced
121,Phd,STEM,21,1.0,Experienced
122,Graduate,STEM,12,0.0,Medium Experienced
123,Graduate,STEM,6,0.0,Limit Experienced
124,Masters,STEM,7,0.0,Limit Experienced
125,Graduate,STEM,11,0.0,Medium Experienced
126,Graduate,Humanities,3,0.0,Limit Experienced
127,Graduate,STEM,21,0.0,Experienced
128,Masters,STEM,15,0.0,Experienced
129,Graduate,STEM,6,1.0,Limit Experienced
130,Phd,STEM,21,0.0,Experienced
131,Graduate,STEM,12,0.0,Medium Experienced
132,Masters,STEM,21,0.0,Experienced
133,Graduate,STEM,20,0.0,Experienced
134,High School,None,2,0.0,Limit Experienced
135,Phd,STEM,23,0.0,Experience Miss
136,None,None,3,0.0,Limit Experienced
137,Masters,Humanities,3,1.0,Limit Experienced
138,Graduate,STEM,2,0.0,Limit Experienced
139,Graduate,STEM,10,0.0,Medium Experienced
140,Masters,STEM,5,1.0,Limit Experienced
141,Graduate,Other,8,0.0,Medium Experienced
142,Graduate,STEM,9,0.0,Medium Experienced
143,Graduate,STEM,21,0.0,Experienced
144,Graduate,STEM,21,0.0,Experienced
145,Masters,STEM,21,0.0,Experienced
146,Graduate,No Major,14,0.0,Medium Experienced
147,Graduate,STEM,12,1.0,Medium Experienced
148,Graduate,STEM,6,0.0,Limit Experienced
149,High School,None,4,0.0,Limit Experienced
150,High School,None,9,0.0,Medium Experienced
151,High School,None,4,1.0,Limit Experienced
152,Phd,STEM,21,0.0,Experienced
153,None,None,11,0.0,Medium Experienced
154,Masters,Arts,21,0.0,Experienced
155,Graduate,STEM,6,1.0,Limit Experienced
156,Graduate,STEM,15,0.0,Experienced
157,Graduate,STEM,14,1.0,Medium Experienced
158,High School,None,6,0.0,Limit Experienced
159,Graduate,STEM,13,0.0,Medium Experienced
160,Graduate,No Major,17,0.0,Experienced
161,Graduate,STEM,21,0.0,Experienced
162,Graduate,Other,21,0.0,Experienced
163,Masters,STEM,6,0.0,Limit Experienced
164,Graduate,STEM,18,1.0,Experienced
165,Masters,STEM,15,0.0,Experienced
166,Graduate,STEM,21,0.0,Experienced
167,Graduate,Arts,21,0.0,Experienced
168,Graduate,STEM,21,0.0,Experienced
169,Masters,STEM,21,1.0,Experienced
170,Masters,STEM,10,0.0,Medium Experienced
171,None,None,21,0.0,Experienced
172,Masters,STEM,5,0.0,Limit Experienced
173,High School,None,3,0.0,Limit Experienced
174,High School,None,2,0.0,Limit Experienced
175,Masters,STEM,21,0.0,Experienced
176,Graduate,STEM,21,0.0,Experienced
177,Masters,STEM,9,0.0,Medium Experienced
178,Masters,STEM,21,0.0,Experienced
179,Graduate,STEM,4,0.0,Limit Experienced
180,Graduate,STEM,5,1.0,Limit Experienced
181,Graduate,STEM,21,0.0,Experienced
182,High School,None,6,0.0,Limit Experienced
